plt_cn,statecd,unitcd,countycd,plot,measyear,drybio_ag_live_5plus,lat_public,lon_public,puid,measmon,measday,time
1.88763E+14,30,2,97,84550,2014,0,2591389.194,-1076451.097,84550_2_97_30,9,24,2014.815753
1.88763E+14,30,5,67,85179,2014,0,2536453.636,-1085609.272,85179_5_67_30,9,9,2014.774658
1.88763E+14,30,5,67,90961,2014,89.67471956,2540192.237,-1110356.042,90961_5_67_30,8,26,2014.7379
1.88763E+14,30,5,57,94872,2014,0,2562287.84,-1217949.616,94872_5_57_30,9,1,2014.75274
1.88763E+14,30,5,57,88190,2014,0,2541969.025,-1220981.44,88190_5_57_30,9,1,2014.75274
1.88763E+14,30,5,57,81824,2014,0,2550067.206,-1230117.535,81824_5_57_30,9,1,2014.75274
4.03984E+13,30,2,95,85548,2013,32.1276502,2545517.028,-1073269.275,85548_2_95_30,8,4,2013.677626
4.03984E+13,30,2,95,91172,2013,0,2548501.467,-1098269.734,91172_2_95_30,7,25,2013.651826
4.03984E+13,30,2,97,91366,2013,33.06243366,2645370.896,-1098915.809,91366_2_97_30,9,11,2013.780137
4.03974E+13,30,2,15,90578,2013,0,2811662.8,-1097176.032,90578_2_15_30,9,1,2013.75274
4.03955E+13,30,4,49,86558,2011,0,2786057.285,-1267228.296,86558_4_49_30,9,7,2011.769178
4.03955E+13,30,4,49,80754,2011,9.471701439,2781501.04,-1240937.701,80754_4_49_30,7,31,2011.668265
4.03955E+13,30,4,49,94088,2011,7.70747536,2773617.078,-1227778.753,94088_4_49_30,5,13,2011.452283
4.03982E+13,30,4,77,93394,2013,0,2710355.084,-1285946.934,93394_4_77_30,9,1,2013.75274
4.03982E+13,30,4,77,87241,2013,3.125854742,2706886.154,-1261733.816,87241_4_77_30,10,22,2013.893607
4.03982E+13,30,4,77,91593,2013,83.65722281,2805348.568,-1298857.24,91593_4_77_30,9,19,2013.802055
4.03948E+13,30,2,27,95394,2012,29.98149712,2712603.256,-1034686.282,95394_2_27_30,8,14,2012.705023
4.03958E+13,30,3,63,81252,2012,22.36565632,2768225.538,-1332916.553,81252_3_63_30,5,11,2012.446804
4.03958E+13,30,3,63,95311,2012,26.14441818,2812521.664,-1394222.371,95311_3_63_30,5,10,2012.444064
4.03958E+13,30,3,63,92147,2012,71.72387635,2772788.038,-1374380.444,92147_3_63_30,8,28,2012.743379
4.03981E+13,30,2,71,94443,2013,0,2835113.444,-931121.1882,94443_2_71_30,9,1,2013.75274
4.03957E+13,30,4,59,92892,2011,21.22490469,2745175.86,-1153795.177,92892_4_59_30,10,30,2011.915525
4.03957E+13,30,4,59,83603,2011,42.753369,2723664.691,-1116265.194,83603_4_59_30,7,19,2011.635388
4.03957E+13,30,4,59,86714,2011,20.33932715,2704329.378,-1119480.557,86714_4_59_30,10,27,2011.907306
4.03957E+13,30,4,59,86611,2011,4.49639361,2706376.761,-1164368.516,86611_4_59_30,8,15,2011.707763
4.03957E+13,30,4,59,95658,2011,6.37984624,2701448.202,-1134761.469,95658_4_59_30,11,2,2011.922146
4.03963E+13,30,3,81,90452,2011,0,2750514.859,-1380713.906,90452_3_81_30,9,1,2011.75274
4.03963E+13,30,3,81,83252,2011,17.1682308,2743082.656,-1367156.372,83252_3_81_30,6,23,2011.563014
4.03949E+13,30,5,31,94845,2012,0,2647819.507,-1179287.235,94845_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,88626,2012,0,2635897.843,-1195960.485,88626_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,90644,2012,0,2631787.151,-1171765.412,90644_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,81428,2012,0,2631678.609,-1207283.351,81428_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,85635,2012,0,2616535.476,-1204446.763,85635_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,86662,2012,0,2615500.936,-1199592.413,86662_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,95154,2012,0,2611988.082,-1174735.505,95154_5_31_30,9,1,2012.75274
4.03949E+13,30,5,31,88047,2012,0,2609216.552,-1184287.679,88047_5_31_30,9,1,2012.75274
4.0395E+13,30,5,31,84231,2012,56.64429138,2569161.284,-1196550.626,84231_5_31_30,6,19,2012.552055
4.0395E+13,30,5,31,82193,2012,24.64340637,2593560.486,-1187708.235,82193_5_31_30,7,18,2012.632648
4.0395E+13,30,5,31,89809,2012,17.02627744,2589435.507,-1163597.235,89809_5_31_30,7,16,2012.627169
4.0395E+13,30,5,31,85310,2012,23.61064921,2577071.831,-1180490.517,85310_5_31_30,6,20,2012.554795
4.0395E+13,30,5,31,84645,2012,64.17441142,2574325.177,-1190735.639,84645_5_31_30,7,27,2012.657306
4.0395E+13,30,5,31,92323,2012,0.830414894,2539028.882,-1196536.881,92323_5_31_30,9,20,2012.804795
4.0395E+13,30,5,31,83388,2012,38.27526098,2522724.019,-1188931.626,83388_5_31_30,7,26,2012.654566
4.0395E+13,30,5,31,80317,2012,0,2519091.914,-1199272.325,80317_5_31_30,12,20,2013.054795
4.0395E+13,30,5,31,84263,2012,6.354902538,2507820.877,-1191333.835,84263_5_31_30,7,20,2012.638128
4.0395E+13,30,5,31,88270,2012,17.79638601,2488079.126,-1194601.78,88270_5_31_30,7,25,2012.651826
4.0395E+13,30,5,31,86877,2012,0,2648856.838,-1166245.097,86877_5_31_30,9,1,2012.75274
4.0395E+13,30,5,31,84917,2012,134.3898048,2559036.017,-1180872.275,84917_5_31_30,8,30,2012.748858
4.0395E+13,30,5,31,95488,2012,50.6801292,2557771.335,-1195850.433,95488_5_31_30,9,28,2012.826712
4.03963E+13,30,3,81,88472,2011,42.30561888,2708331.865,-1372471.195,88472_3_81_30,6,22,2011.560274
4.03963E+13,30,3,81,95184,2011,0,2693418.912,-1403971.648,95184_3_81_30,5,4,2011.427626
4.03963E+13,30,3,81,87760,2011,0,2732812.055,-1383882.511,87760_3_81_30,9,1,2011.75274
4.03963E+13,30,3,81,85578,2011,0,2724748.261,-1370839.294,85578_3_81_30,7,18,2011.632648
4.03958E+13,30,4,59,93914,2011,9.345336826,2691204.476,-1131676.721,93914_4_59_30,8,16,2011.710502
4.03958E+13,30,4,59,85679,2011,3.993160201,2748768.204,-1164598.288,85679_4_59_30,10,27,2011.907306
4.03958E+13,30,4,59,87260,2011,5.193282082,2739009.233,-1127387.584,87260_4_59_30,7,20,2011.638128
4.03958E+13,30,4,59,82459,2011,34.35729632,2714771.789,-1170672.395,82459_4_59_30,8,8,2011.688584
4.03972E+13,30,4,7,86898,2013,0,2735340.944,-1190941.82,86898_4_7_30,5,31,2013.501598
4.03977E+13,30,3,39,85462,2013,16.20610182,2760275.112,-1318543.388,85462_3_39_30,5,7,2013.435845
4.03977E+13,30,3,39,86500,2013,22.08976545,2744618.674,-1346285.591,86500_3_39_30,7,1,2013.586073
4.03977E+13,30,3,39,84807,2013,3.124020857,2742210.996,-1362806.117,84807_3_39_30,6,7,2013.519178
4.03972E+13,30,4,7,90846,2013,47.93278265,2696111.875,-1166056.937,90846_4_7_30,7,31,2013.668265
4.03972E+13,30,4,7,80281,2013,0,2715445.993,-1194093.072,80281_4_7_30,9,1,2013.75274
4.03972E+13,30,4,7,83981,2013,0,2708868.43,-1179895.633,83981_4_7_30,9,1,2013.75274
4.03972E+13,30,4,7,83158,2013,0,2701138.214,-1196699.57,83158_4_7_30,9,1,2013.75274
4.03972E+13,30,4,7,81835,2013,17.54269041,2697709.359,-1206303.364,81835_4_7_30,6,3,2013.508219
4.03972E+13,30,4,7,89680,2013,0,2693890.258,-1182348.934,89680_4_7_30,5,29,2013.496119
4.03972E+13,30,4,7,91992,2013,0,2681592.258,-1199171.644,91992_4_7_30,9,1,2013.75274
4.03972E+13,30,4,7,88802,2013,33.96579511,2677419.839,-1173464.244,88802_4_7_30,5,24,2013.48242
4.03972E+13,30,4,7,84742,2013,4.890986441,2677697.834,-1210071.238,84742_4_7_30,5,30,2013.498858
4.03972E+13,30,4,7,87617,2013,0,2674362.024,-1185041.037,87617_4_7_30,8,13,2013.702283
4.03972E+13,30,4,7,86929,2013,0,2666579.238,-1200595.606,86929_4_7_30,9,1,2013.75274
4.03972E+13,30,4,7,90970,2013,0,2646862.006,-1204674.2,90970_4_7_30,9,1,2013.75274
4.03972E+13,30,4,7,81019,2013,0,2716122.352,-1206281.012,81019_4_7_30,9,1,2013.75274
4.03973E+13,30,2,9,88486,2013,16.9906419,2547740.625,-1058551.827,88486_2_9_30,8,20,2013.721461
4.03973E+13,30,2,9,95714,2013,0,2540614.441,-1048501.38,95714_2_9_30,8,2,2013.672146
4.03973E+13,30,2,9,84743,2013,17.41630686,2528194.807,-970586.0258,84743_2_9_30,6,11,2013.530137
4.03973E+13,30,2,9,83616,2013,0,2527759.594,-1062124.636,83616_2_9_30,7,16,2013.627169
1.88763E+14,30,4,7,92005,2014,27.26224296,2723005.394,-1177545.62,92005_4_7_30,7,10,2014.610731
4.03984E+13,30,2,97,82592,2013,0,2587378.482,-1082819.903,82592_2_97_30,8,8,2013.688584
4.03984E+13,30,2,97,81703,2013,0.388135095,2583229.094,-1093267.029,81703_2_97_30,9,16,2013.793836
4.03984E+13,30,2,97,87134,2013,49.77679732,2568546.614,-1095896.84,87134_2_97_30,7,18,2013.632648
4.03973E+13,30,2,9,87133,2013,0.907126899,2523822.836,-1036521.222,87133_2_9_30,8,1,2013.669406
4.03977E+13,30,3,39,92395,2013,74.87905563,2738421.583,-1337346.889,92395_3_39_30,6,24,2013.565753
4.03977E+13,30,3,39,93082,2013,0,2734256.839,-1312684.009,93082_3_39_30,9,1,2013.75274
4.03977E+13,30,3,39,81021,2013,30.16106833,2721216.634,-1325109.277,81021_3_39_30,5,13,2013.452283
4.03977E+13,30,3,39,92539,2013,0,2718656.753,-1340491.8,92539_3_39_30,9,1,2013.75274
4.03977E+13,30,3,39,82550,2013,30.60182602,2710738.582,-1356703.729,82550_3_39_30,6,20,2013.554795
4.03977E+13,30,3,39,85579,2013,0,2703930.28,-1343056.266,85579_3_39_30,9,1,2013.75274
4.03977E+13,30,3,39,86874,2013,0,2751105.47,-1308305.874,86874_3_39_30,9,1,2013.75274
4.03977E+13,30,3,39,89106,2013,25.99113881,2727088.776,-1352562.611,89106_3_39_30,5,21,2013.474201
1.88763E+14,30,2,27,89332,2014,65.96426823,2719498.084,-994905.5005,89332_2_27_30,11,6,2014.933105
1.88763E+14,30,2,37,92201,2014,0,2705335.018,-1002864.202,92201_2_37_30,9,1,2014.75274
1.88763E+14,30,2,3,80004,2014,0,2543549.984,-991715.271,80004_2_3_30,9,1,2014.75274
1.88763E+14,30,2,95,89390,2014,0,2573788.187,-1064582.482,89390_2_95_30,9,1,2014.75274
1.88763E+14,30,2,27,92404,2014,51.66976006,2752369.647,-1009807.694,92404_2_27_30,10,27,2014.907306
4.03982E+13,30,4,77,95105,2013,0,2729869.608,-1283430.731,95105_4_77_30,8,2,2013.672146
4.03982E+13,30,4,77,95348,2013,16.47328159,2717887.643,-1301012.313,95348_4_77_30,9,11,2013.780137
4.03944E+13,30,2,15,94666,2012,0,2865209.652,-1022073.345,94666_2_15_30,9,1,2012.75274
4.03981E+13,30,5,67,89164,2013,0.31878944,2642188.567,-1109668.083,89164_5_67_30,8,8,2013.688584
4.03959E+13,30,5,67,84511,2012,10.34139228,2600495.994,-1136284.326,84511_5_67_30,6,23,2012.563014
4.03959E+13,30,5,67,83342,2012,0,2585605.02,-1138113.27,83342_5_67_30,9,1,2012.75274
4.03959E+13,30,5,67,90360,2012,0,2572400.393,-1150126.494,90360_5_67_30,9,1,2012.75274
4.03959E+13,30,5,67,82331,2012,55.95935583,2569785.429,-1165849.822,82331_5_67_30,7,10,2012.610731
4.03959E+13,30,5,67,82031,2012,36.74025491,2552258.973,-1154123.847,82031_5_67_30,8,8,2012.688584
4.03959E+13,30,5,67,87847,2012,12.84488589,2544350.82,-1105392.173,87847_5_67_30,9,11,2012.780137
4.03959E+13,30,5,67,83344,2012,67.24802903,2546156.442,-1144672.648,83344_5_67_30,8,7,2012.685845
4.03959E+13,30,5,67,88439,2012,13.71108949,2541542.339,-1115093.81,88439_5_67_30,8,29,2012.746119
4.03959E+13,30,5,67,90100,2012,0,2537034.806,-1090442.698,90100_5_67_30,9,17,2012.796575
4.03959E+13,30,5,67,82464,2012,0,2537383.052,-1156654.007,82464_5_67_30,7,18,2012.632648
4.03959E+13,30,5,67,94201,2012,28.90831439,2533700.877,-1132134.075,94201_5_67_30,8,15,2012.707763
4.0394E+13,30,5,1,89566,2012,0,2522023.317,-1310270.635,89566_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,84123,2012,0,2516674.935,-1280958.68,84123_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,80703,2012,0,2513345.648,-1255816.215,80703_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,93038,2012,0,2509186.131,-1231563.351,93038_5_1_30,9,12,2012.782877
4.0394E+13,30,5,1,93596,2012,0,2511090.602,-1337405.124,93596_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,83516,2012,0,2503966.674,-1298527.272,83516_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,84873,2012,0,2652124.777,-1313671.279,84873_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,91324,2012,34.00064706,2624043.832,-1371494.118,91324_5_1_30,7,17,2012.629909
4.0394E+13,30,5,1,84181,2012,0,2604865.692,-1335164.501,84181_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,84011,2012,0,2592869.298,-1296047.453,84011_5_1_30,9,1,2012.75274
4.0394E+13,30,5,1,85034,2012,0,2568709.675,-1340619.375,85034_5_1_30,9,1,2012.75274
4.03941E+13,30,2,3,93458,2012,0,2540171.598,-983826.3708,93458_2_3_30,9,1,2012.75274
4.03978E+13,30,4,45,94767,2013,48.67590039,2757594.127,-1105332.825,94767_4_45_30,5,28,2013.493379
1.88762E+14,30,3,81,95057,2014,1.277767005,2718876.575,-1376432.615,95057_3_81_30,6,18,2014.549315
1.88763E+14,30,4,13,89043,2014,18.68997533,2770777.013,-1153596.406,89043_4_13_30,7,17,2014.629909
4.03978E+13,30,4,49,82978,2013,8.751120702,2767890.686,-1266987.697,82978_4_49_30,5,20,2013.471461
4.03978E+13,30,4,49,81817,2013,57.36085324,2762943.082,-1237105.903,81817_4_49_30,5,21,2013.474201
4.03978E+13,30,4,49,80900,2013,39.43837564,2764582.097,-1277701.528,80900_4_49_30,9,30,2013.832192
4.03978E+13,30,4,49,94415,2013,15.51861171,2760459.54,-1252415.078,94415_4_49_30,9,17,2013.796575
4.03978E+13,30,4,49,88002,2013,0,2756330.218,-1228176.113,88002_4_49_30,9,1,2013.75274
4.03978E+13,30,4,49,87527,2013,28.47988104,2752332.132,-1198108.146,87527_4_49_30,9,28,2013.826712
4.03978E+13,30,4,49,86005,2013,12.95495574,2732403.882,-1201137.105,86005_4_49_30,9,25,2013.818493
4.03978E+13,30,4,49,94176,2013,0,2724854.556,-1217651.643,94176_4_49_30,9,1,2013.75274
4.03978E+13,30,4,49,86229,2013,0,2785013.27,-1261660.985,86229_4_49_30,9,9,2013.774658
4.03978E+13,30,4,49,81902,2013,24.2060144,2781218.821,-1235582.532,81902_4_49_30,5,21,2013.474201
4.03973E+13,30,2,9,80582,2013,47.91249138,2524785.345,-1077048.784,80582_2_9_30,7,29,2013.662785
1.88763E+14,30,4,59,85995,2014,9.163055551,2755209.766,-1157093.215,85995_4_59_30,8,13,2014.702283
1.88762E+14,30,5,57,89378,2014,0,2642473.994,-1240935.916,89378_5_57_30,9,1,2014.75274
1.88762E+14,30,5,57,84408,2014,0,2569588.985,-1226858.373,84408_5_57_30,9,1,2014.75274
1.88762E+14,30,5,57,82824,2014,0,2527062.446,-1248848.495,82824_5_57_30,8,13,2014.702283
1.88762E+14,30,5,1,92566,2014,0,2515086.366,-1236125.33,92566_5_1_30,9,1,2014.75274
1.88763E+14,30,4,49,83350,2014,48.08764081,2782909.659,-1233086.047,83350_4_49_30,9,30,2014.832192
1.88763E+14,30,4,49,95213,2014,27.32569372,2763502.371,-1242306.814,95213_4_49_30,6,5,2014.513699
1.88763E+14,30,4,43,91212,2014,11.75938921,2716745.079,-1229360.476,91212_4_43_30,7,10,2014.610731
1.88763E+14,30,4,49,85545,2014,13.96605864,2713424.27,-1244198.88,85545_4_49_30,8,17,2014.713242
1.88762E+14,30,5,93,80340,2014,0,2670101.452,-1291819.117,80340_5_93_30,9,1,2014.75274
1.88762E+14,30,5,57,89119,2014,110.0667965,2545241.956,-1205318.419,89119_5_57_30,8,18,2014.715982
4.03954E+13,30,4,49,80908,2012,31.50422037,2789950.441,-1247989.159,80908_4_49_30,7,2,2012.588813
4.03954E+13,30,4,49,86132,2012,8.759128889,2782740.123,-1238456.493,86132_4_49_30,5,14,2012.455023
4.03954E+13,30,4,49,95649,2012,0,2778282.564,-1209270.025,95649_4_49_30,9,1,2012.75274
4.03954E+13,30,4,49,82106,2012,13.83683106,2771384.539,-1226884.038,82106_4_49_30,7,19,2012.635388
4.03967E+13,30,5,93,93039,2012,0.887626152,2683386.039,-1279674.42,93039_5_93_30,7,23,2012.646347
4.03967E+13,30,5,93,89833,2012,45.03308585,2671662.787,-1297070.119,89833_5_93_30,6,26,2012.571233
4.03967E+13,30,5,93,89023,2012,0,2667588.733,-1272376.737,89023_5_93_30,9,1,2012.75274
4.03967E+13,30,5,93,85176,2012,27.23832664,2678588.038,-1276006.029,85176_5_93_30,5,23,2012.47968
4.03967E+13,30,5,93,91391,2012,27.9279802,2651772.644,-1301316.013,91391_5_93_30,9,12,2012.782877
4.03967E+13,30,5,93,94029,2012,0,2640563.594,-1261028.896,94029_5_93_30,9,28,2012.826712
4.03967E+13,30,5,93,94330,2012,54.0328606,2646889.49,-1287553.382,94330_5_93_30,9,5,2012.763699
4.03967E+13,30,2,95,93756,2012,0,2576880.327,-1071459.043,93756_2_95_30,9,1,2012.75274
4.03948E+13,30,2,27,89456,2012,45.21449277,2760382.057,-998385.3625,89456_2_27_30,9,27,2012.823973
4.03957E+13,30,5,57,88329,2012,70.17267769,2586251.932,-1270335.049,88329_5_57_30,8,14,2012.705023
4.03957E+13,30,4,59,92366,2012,0,2732908.949,-1140042.203,92366_4_59_30,8,31,2012.751598
4.03957E+13,30,4,59,88678,2012,12.17684213,2695331.867,-1130684.211,88678_4_59_30,9,13,2012.785616
4.03957E+13,30,4,59,91850,2012,0,2684737.234,-1158254.947,91850_4_59_30,9,1,2012.75274
4.03959E+13,30,5,67,92181,2012,35.07540584,2657576.714,-1111893.596,92181_5_67_30,8,20,2012.721461
4.0398E+13,30,3,63,93263,2013,19.48752174,2778792.321,-1341892.72,93263_3_63_30,6,20,2013.554795
4.03981E+13,30,5,67,89370,2013,0,2594579.667,-1131887.798,89370_5_67_30,9,1,2013.75274
4.03981E+13,30,5,67,83134,2013,38.6317716,2575497.269,-1109270.284,83134_5_67_30,8,16,2013.710502
4.03981E+13,30,5,67,93844,2013,0,2577913.09,-1150258.369,93844_5_67_30,9,1,2013.75274
4.03981E+13,30,5,67,80859,2013,74.4606258,2556788.439,-1112631.558,80859_5_67_30,8,15,2013.707763
4.03981E+13,30,5,67,84536,2013,72.15602118,2557932.646,-1152591.612,84536_5_67_30,7,18,2013.632648
4.03981E+13,30,5,67,93220,2013,0,2553644.664,-1128355.111,93220_5_67_30,8,5,2013.680365
4.03981E+13,30,5,67,88598,2013,0.729896666,2542418.484,-1155483.611,88598_5_67_30,6,19,2013.552055
4.03981E+13,30,5,67,90366,2013,0,2536456.298,-1116356.535,90366_5_67_30,8,13,2013.702283
4.03981E+13,30,5,67,82415,2013,39.75931431,2532482.25,-1091875.496,82415_5_67_30,7,30,2013.665525
4.03981E+13,30,5,67,85934,2013,0,2595002.751,-1146150.923,85934_5_67_30,9,1,2013.75274
4.0394E+13,30,5,1,88017,2012,0,2512516.473,-1220762.719,88017_5_1_30,8,19,2012.718721
4.0394E+13,30,5,1,83322,2012,0,2524979.013,-1334749.811,83322_5_1_30,9,1,2012.75274
4.03978E+13,30,4,45,86988,2013,57.87444238,2737606.455,-1109562.648,86988_4_45_30,8,6,2013.683105
4.03978E+13,30,4,45,83625,2013,26.76985048,2723276.891,-1110864.68,83625_4_45_30,6,7,2013.519178
4.03978E+13,30,4,45,83233,2013,7.457601745,2718997.289,-1086661.011,83233_4_45_30,7,23,2013.646347
4.03978E+13,30,4,45,88291,2013,0.939659869,2715994.04,-1097625.198,88291_4_45_30,5,25,2013.48516
1.88763E+14,30,5,67,94430,2015,0,2589208.132,-1158626.816,94430_5_67_30,9,9,2015.774658
1.88763E+14,30,4,59,80033,2015,73.45116827,2701772.935,-1165192.8,80033_4_59_30,7,29,2015.662785
1.88763E+14,30,2,95,81502,2015,28.75837461,2556633.598,-1082620.237,81502_2_95_30,8,14,2015.705023
1.88763E+14,30,5,67,85103,2015,0,2547789.817,-1123169.061,85103_5_67_30,8,24,2015.73242
1.88762E+14,30,2,9,89869,2015,0,2539868.967,-1075004.723,89869_2_9_30,8,11,2015.696804
1.88763E+14,30,4,49,80538,2015,78.53191493,2779067.326,-1275638.977,80538_4_49_30,9,1,2015.75274
1.88763E+14,30,4,49,84513,2013,0,2810148.969,-1280814.925,84513_4_49_30,8,22,2013.726941
1.88763E+14,30,4,77,95316,2013,11.28988674,2817099.376,-1294998.342,95316_4_77_30,7,31,2013.668265
1.88763E+14,30,4,49,88960,2013,36.64643282,2795866.803,-1270523.134,88960_4_49_30,8,21,2013.724201
1.88763E+14,30,5,31,89100,2013,0.399584178,2487751.315,-1189896.075,89100_5_31_30,8,16,2013.710502
4.03967E+13,30,2,97,80710,2012,0,2591703.535,-1081814.703,80710_2_97_30,9,26,2012.821233
4.03967E+13,30,2,97,95066,2012,77.33377189,2579662.254,-1099066.6,95066_2_97_30,9,13,2012.785616
4.03958E+13,30,4,59,94320,2012,21.46660486,2749292.494,-1135931.592,94320_4_59_30,8,17,2012.713242
4.03948E+13,30,2,27,83532,2012,49.09321967,2752367.875,-1015135.926,83532_2_27_30,6,25,2012.568493
4.03948E+13,30,2,27,82019,2012,0,2729576.667,-993797.1473,82019_2_27_30,9,1,2012.75274
4.03984E+13,30,5,93,91496,2013,0,2676011.824,-1291227.289,91496_5_93_30,9,1,2013.75274
4.03984E+13,30,5,93,92180,2013,0,2679471.053,-1280668.702,92180_5_93_30,9,1,2013.75274
4.03984E+13,30,5,93,81765,2013,7.750712198,2662783.302,-1308397.795,81765_5_93_30,8,29,2013.746119
4.03984E+13,30,5,93,95196,2013,40.15644962,2658907.355,-1283897.191,95196_5_93_30,8,2,2013.672146
4.03984E+13,30,5,93,83646,2013,38.6126028,2655827.343,-1294638.697,83646_5_93_30,6,26,2013.571233
4.03984E+13,30,5,93,81673,2013,9.793472975,2644995.274,-1286274.395,81673_5_93_30,8,27,2013.740639
4.03963E+13,30,3,81,95556,2012,0,2758925.498,-1370093.222,95556_3_81_30,9,24,2012.815753
4.03963E+13,30,3,81,85237,2012,1.639895656,2758020.193,-1364825.227,85237_3_81_30,4,30,2012.415525
4.03963E+13,30,3,81,84504,2012,68.77967703,2737915.094,-1367803.81,84504_3_81_30,5,24,2012.48242
4.03963E+13,30,3,81,81857,2012,0,2734702.357,-1379957.22,81857_3_81_30,9,1,2012.75274
4.03963E+13,30,3,81,94639,2012,0,2722605.924,-1370400.321,94639_3_81_30,9,17,2012.796575
4.03963E+13,30,3,81,86496,2012,0,2720646.485,-1383639.306,86496_3_81_30,10,4,2012.844292
4.03963E+13,30,3,81,86991,2012,0,2708241.857,-1395865.985,86991_3_81_30,9,1,2012.75274
4.03963E+13,30,3,81,95237,2012,77.513224,2703442.51,-1373249.062,95237_3_81_30,6,21,2012.557534
1.88763E+14,30,2,9,85288,2014,11.38496159,2528631.531,-1036579.963,85288_2_9_30,9,10,2014.777397
4.0398E+13,30,3,63,90771,2013,0,2776856.4,-1357240.587,90771_3_63_30,9,1,2013.75274
4.0398E+13,30,3,63,95563,2013,32.228646,2761810.374,-1359289.995,95563_3_63_30,5,21,2013.474201
4.0398E+13,30,3,63,85045,2013,0,2766859.251,-1372231.659,85045_3_63_30,9,1,2013.75274
4.0398E+13,30,3,63,90202,2013,31.07865591,2809500.091,-1324803.872,90202_3_63_30,5,8,2013.438584
4.0398E+13,30,3,63,87519,2013,0,2785395.67,-1368954.617,87519_3_63_30,9,1,2013.75274
4.0398E+13,30,3,63,83037,2013,0,2762427.643,-1346389.176,83037_3_63_30,9,1,2013.75274
4.03949E+13,30,5,31,95528,2011,31.89437603,2670805.683,-1165589.233,95528_5_31_30,8,31,2011.751598
4.03958E+13,30,3,63,85017,2011,29.34039369,2809213.206,-1337320.417,85017_3_63_30,6,28,2011.576712
4.03958E+13,30,3,63,82785,2011,64.1904234,2811099.459,-1398439.167,82785_3_63_30,9,26,2011.821233
4.03958E+13,30,3,63,86713,2011,29.50391675,2795586.634,-1318659.818,86713_3_63_30,5,16,2011.460502
4.03958E+13,30,3,63,94482,2011,0,2801237.265,-1384102.697,94482_3_63_30,9,1,2011.75274
4.03958E+13,30,3,63,91193,2011,78.18074791,2797032.982,-1358967.725,91193_3_63_30,9,20,2011.804795
4.03958E+13,30,3,63,83636,2011,42.94306005,2775242.71,-1351180.815,83636_3_63_30,5,3,2011.424886
4.03958E+13,30,3,63,87968,2011,6.897801755,2777229.292,-1362009.066,87968_3_63_30,5,12,2011.449543
4.03958E+13,30,3,63,85154,2011,36.12304746,2773454.977,-1337437.8,85154_3_63_30,7,8,2011.605251
4.03958E+13,30,3,63,90266,2011,0,2770174.356,-1377288.375,90266_3_63_30,9,1,2011.75274
4.03958E+13,30,3,63,87927,2011,64.52043701,2762333.257,-1364441.683,87927_3_63_30,5,17,2011.463242
4.03972E+13,30,2,3,87989,2013,0,2507659.831,-935439.6794,87989_2_3_30,9,1,2013.75274
1.88763E+14,30,4,13,83837,2014,35.14072536,2748927.039,-1117099.395,83837_4_13_30,8,1,2014.669406
1.88763E+14,30,4,59,82703,2014,33.69127787,2735602.383,-1120324.35,82703_4_59_30,8,4,2014.677626
1.88763E+14,30,4,59,95414,2014,0,2707206.851,-1108607.374,95414_4_59_30,9,1,2014.75274
1.88762E+14,30,3,63,92814,2014,26.91163346,2784047.764,-1340257.362,92814_3_63_30,4,29,2014.412785
1.88762E+14,30,3,39,81908,2014,61.74779681,2767580.008,-1328208.225,81908_3_39_30,6,19,2014.552055
1.88762E+14,30,5,1,80581,2014,0,2644129.966,-1350956.518,80581_5_1_30,9,1,2014.75274
1.88762E+14,30,5,1,84750,2014,33.57444154,2643463.349,-1342187.758,84750_5_1_30,8,4,2014.677626
1.88762E+14,30,5,1,86075,2014,0,2602782.773,-1342339.349,86075_5_1_30,6,12,2014.532877
1.88762E+14,30,5,1,86235,2014,46.37040747,2590565.291,-1361232.885,86235_5_1_30,8,5,2014.680365
1.88762E+14,30,4,49,87932,2014,15.84959507,2731876.945,-1240920.28,87932_4_49_30,10,22,2014.893607
1.88762E+14,30,5,57,86629,2014,0,2577178.677,-1282180.478,86629_5_57_30,9,1,2014.75274
1.88762E+14,30,3,39,86943,2014,0,2748103.926,-1305793.109,86943_3_39_30,9,1,2014.75274
1.88762E+14,30,3,63,90343,2014,7.688491051,2790676.08,-1350210.935,90343_3_63_30,6,20,2014.554795
1.88763E+14,30,5,1,94591,2014,0,2508059.104,-1226497.388,94591_5_1_30,9,1,2014.75274
1.88763E+14,30,5,67,93877,2014,46.1442617,2558493.375,-1175662.992,93877_5_67_30,9,16,2014.793836
1.88762E+14,30,5,67,93582,2014,17.2105168,2599316.501,-1131599.692,93582_5_67_30,10,14,2014.871689
